ID;Code No;Name;Z;Density;Atomic wght;valel s+p,n;valel s+p,n+1;s+p, n+n+1;valel d;valel f;Energy gap 300 K;Melting point, C
150;;AlF3;;3.07;83.9767;;24;;;;0;
131;;MoO3;;4.5;143.9382;;19;;5;;0;
133;;P2O3;;2.13;109.9458;;28;;;;0;
135;;SiCl4;;1.49;169.898;2;32;;;;0;
137;;SiH4;;0.00144;32.11788;;8;;;;0;
139;;AgBr;;6.47;187.779;;8;;10;;0;
141;;AgF;;5.85;126.8684;;8;;10;;0;
143;;ZnO;;5.47;81.3694;;8;;10;;3.2;
149;;AlCl3;;2.44;133.3405;;24;;;;0;
132;;NiO;;7.45;74.7094;;8;;8;;0;
134;;P2O5;;2.39;141.9446;;40;;;;0;
136;;SiF4;;0.00469;104.0796;;32;;;;0;
138;;SiO2;;2.65;60.0848;;16;;;;9.1;
140;;AgCl;;5.56;143.323;;8;;10;;3;
142;;TiO2;;4.26;79.8988;;14;;2;;0;
144;;ZrO2;;5.7;123.2188;;14;;2;;0;
151;;AlN;;3.26;40.9882;;8;;;;0;
152;;Al2(SO4)3;;2.71;342.1478;;96;;;;0;
154;;NH4N3;;1.35;60.05868;;24;;;;0;
156;;NH4Br;;2.33;97.94758;;16;;;;0;
158;;(NH4)2PtCl6;;3.07;443.8852;;61;;9;;0;
160;;(NH4)2Cr2O7;;2.15;252.065;;72;;;;0;
162;;NH4F;;1.32;37.03698;;16;;;;0;
164;;(NH4)2HPO4;;1.62;132.0721;;48;;;;0;
166;;NH4I;;2.44;144.9426;;16;;;;0;
153;;NH3;;0.00077;17.03061;;8;;;;0;
155;;NH4C2H3O2;;1.07;77.08359;;32;;;;0;
157;;NH4Cl;;1.52;53.49158;;16;;;;0;
159;;(NH4)2CrO4;;1.91;152.0708;;43;;5;;0;
161;;(NH4)H2PO4;;1.8;115.0259;;38;;;;0;
163;;NH4CHO2;;1.27;63.0565;;26;;;;0;
165;;NH4IO3;;3.31;192.9408;;34;;;;0;
167;;(NH4)2MoO4;;2.27;192.0188;;43;;5;;0;
168;;NH4NO3;;1.73;80.04348;;32;;;;0;
170;;(NH4)2C2O4.H2O;;1.5;142.1124;;58;;;;0;
172;;NH4CNS;;76.12043;1.31;;24;;;;0;
174;;NH4VO3;;2.33;116.97878;;29;;3;;0;
176;;SbCl3;;3.14;228.109;;26;;;;0;
178;;SbF3;;4.38;178.7452;;26;;;;0;
180;;SbH3;;2.26;124.77391;;8;;;;0;
182;;Sb2O3;;5.25;291.4982;;28;;;;0;
169;;NH4NO2;;1.69;64.04408;;26;;;;0;
171;;(NH4)2C4H4O6;;1.6;184.15004;;74;;;;0;
173;;(NH4)2SO2;;1.77;100.13996;;36;;;;0;
175;;SbBr3;;4.15;361.477;;26;;;;0;
177;;SbCl5;;2.35;229.015;;40;;;;0;
179;;SbF5;;2.99;216.742;;40;;;;0;
181;;SbI3;;4.85;502.462;;26;;;;0;
183;;Sb2O5;;3.78;323.497;;40;;;;0;
